Estrazione del 2022-06-28
idImpianto;descCarburante;prezzo;isSelf;dtComu
6492;Hi-Q Diesel;1.644;1;27/06/2022 00:35:28
6612;Hi-Q Diesel;1.669;1;24/06/2022 02:06:15
6484;Hi-Q Diesel;1.674;1;27/06/2022 00:35:22
6503;Hi-Q Diesel;1.676;1;24/06/2022 11:36:38
6632;Hi-Q Diesel;1.669;1;27/06/2022 00:36:20
6463;Hi-Q Diesel;1.649;1;28/06/2022 01:37:51
6460;Hi-Q Diesel;1.705;1;28/06/2022 01:37:50
6610;Hi-Q Diesel;1.629;1;27/06/2022 00:36:15
6461;Hi-Q Diesel;1.666;1;24/06/2022 02:05:37
6422;Hi-Q Diesel;1.653;1;28/06/2022 02:04:37
6532;Hi-Q Diesel;1.679;1;27/06/2022 00:35:46
6465;Hi-Q Diesel;1.689;1;27/06/2022 00:35:13
6683;Hi-Q Diesel;1.755;1;27/06/2022 00:36:36
6471;Hi-Q Diesel;1.698;1;22/06/2022 01:08:12
6832;Hi-Q Diesel;1.732;1;22/06/2022 01:08:15
10186;Hi-Q Diesel;1.714;1;27/06/2022 00:35:23
6702;Hi-Q Diesel;1.709;1;27/06/2022 00:36:42
6670;Hi-Q Diesel;1.756;1;27/06/2022 00:36:34
6653;Hi-Q Diesel;1.665;1;27/06/2022 00:36:24
6742;Hi-Q Diesel;1.709;1;27/06/2022 00:36:53
6462;Hi-Q Diesel;1.669;1;27/06/2022 00:35:12
6526;Hi-Q Diesel;1.658;1;27/06/2022 00:37:51
6389;Hi-Q Diesel;1.757;1;27/06/2022 00:37:34
6533;Hi-Q Diesel;1.694;1;21/06/2022 16:07:37
6464;Hi-Q Diesel;1.689;1;27/06/2022 00:35:13
6425;Hi-Q Diesel;1.728;1;24/06/2022 11:36:34
6530;Hi-Q Diesel;1.669;1;27/06/2022 00:35:45
6417;Hi-Q Diesel;1.687;1;27/06/2022 00:34:48
6577;Hi-Q Diesel;1.699;1;27/06/2022 00:36:05
6777;Hi-Q Diesel;1.739;1;27/06/2022 00:37:12
6441;Hi-Q Diesel;1.719;1;27/06/2022 00:37:42
6393;Hi-Q Diesel;1.685;1;27/06/2022 00:34:31
6721;Hi-Q Diesel;1.628;1;27/06/2022 00:36:49
6561;Hi-Q Diesel;1.539;1;28/06/2022 02:04:52
11954;Hi-Q Diesel;1.488;1;28/06/2022 01:38:02
11954;HiQ Perform+;1.634;1;28/06/2022 01:38:02
6587;Hi-Q Diesel;1.629;1;27/06/2022 00:36:09
7539;Blue Super;1.781;0;08/01/2022 11:15:59
7539;Blue Super;1.701;1;08/01/2022 11:15:59
29720;Hi-Q Diesel;1.619;1;23/06/2022 01:37:13
11791;Hi-Q Diesel;1.617;1;27/06/2022 00:35:10
11791;HiQ Perform+;1.797;1;27/06/2022 00:35:10
11290;Hi-Q Diesel;1.487;1;12/03/2022 08:42:32
11290;Hi-Q Diesel;1.487;0;12/03/2022 08:42:32
11454;Hi-Q Diesel;1.597;1;27/06/2022 00:34:39
11454;HiQ Perform+;1.799;1;27/06/2022 00:34:39
4595;Gasolio Alpino;1.471;1;25/06/2022 19:02:43
13220;Benzina WR 100;1.717;0;28/06/2022 06:58:11
6413;Hi-Q Diesel;1.488;1;27/06/2022 00:34:46
19989;Gasolio Gelo;1.305;0;28/06/2022 07:40:11
19989;Gasolio Gelo;1.305;1;28/06/2022 07:40:11
4595;Blue Diesel;1.234;1;25/06/2022 19:02:43
11891;Hi-Q Diesel;1.599;1;27/06/2022 00:35:16
7261;GPL;0.649;0;27/06/2022 00:35:34
9302;Benzina WR 100;1.539;0;28/06/2022 06:48:07
9302;Benzina WR 100;1.539;1;28/06/2022 06:48:07
6391;Gasolio artico;1.309;1;27/06/2022 00:37:34
11568;HiQ Perform+;1.767;1;25/06/2022 01:36:17
37479;Blue Diesel;1.479;1;28/06/2022 07:12:17
37479;Blue Diesel;1.649;0;28/06/2022 07:12:17
3716;Gasolio Premium;1.552;1;22/06/2022 14:00:10
38150;GPL;0.599;0;27/06/2022 09:04:02
38722;Hi-Q Diesel;1.549;1;10/03/2022 21:28:44
38811;Blue Diesel;1.427;0;27/06/2022 07:31:44
7981;Blue Diesel;1.111;1;23/09/2021 07:31:26
3888;HiQ Perform+;2.268;0;25/06/2022 14:30:06
3888;Hi-Q Diesel;2.219;0;25/06/2022 14:30:06
11591;Hi-Q Diesel;1.669;1;27/06/2022 00:36:12
11591;HiQ Perform+;1.774;1;27/06/2022 00:36:12
27119;Blue Super;1.879;0;09/11/2021 18:46:11
27119;Blue Super;1.699;1;09/11/2021 18:46:11
3654;Hi-Q Diesel;1.969;0;27/06/2022 14:30:12
3654;HiQ Perform+;1.969;1;27/06/2022 14:30:12
3654;HiQ Perform+;1.969;0;27/06/2022 14:30:12
3654;Hi-Q Diesel;1.969;1;27/06/2022 14:30:12
41594;GPL;0.639;0;28/06/2022 00:08:12
11937;HiQ Perform+;1.979;1;27/06/2022 00:37:37
18456;Benzina WR 100;2.409;0;27/06/2022 11:56:07
18456;Benzina WR 100;2.409;1;27/06/2022 11:56:07
22646;Benzina WR 100;1.829;0;28/06/2022 07:06:05
27403;Blue Super;0.001;1;01/03/2022 07:30:01
23169;Gasolio;1.499;1;12/01/2022 17:38:33
23169;Benzina;1.639;1;12/01/2022 17:38:33
11521;HiQ Perform+;1.429;1;27/06/2022 00:35:49
43189;Benzina;1.589;0;24/01/2022 08:55:45
43189;Gasolio;1.499;0;24/01/2022 08:55:45
43952;Metano;0.998;0;30/09/2021 23:00:37
5024;Gasolio Gelo;1.679;0;27/06/2022 19:42:07
5024;Gasolio Gelo;1.679;1;27/06/2022 19:42:07
35824;Gasolio Gelo;1.619;0;28/06/2022 00:02:07
35824;Gasolio Gelo;1.619;1;28/06/2022 00:02:07
33807;Blue Super;1.801;0;23/02/2022 07:14:41
33807;Blue Super;1.649;1;23/02/2022 07:14:41
35748;Benzina WR 100;1.699;0;28/06/2022 07:36:10
35748;Benzina WR 100;1.699;1;28/06/2022 07:36:10
18211;GPL;0.609;0;27/06/2022 08:28:09
43569;Benzina;1.911;0;16/05/2022 12:04:47
43569;Gasolio;1.909;0;16/05/2022 12:04:47
40179;Gasolio;1.629;0;30/03/2022 12:07:19
40180;Benzina;1.629;0;30/03/2022 12:07:30
40179;Benzina;1.709;0;30/03/2022 12:07:19
40180;Gasolio;1.599;0;30/03/2022 12:07:30
38782;Gasolio Gelo;1.610;0;27/06/2022 11:22:10
38782;Gasolio Gelo;1.610;1;27/06/2022 11:22:10
28071;Blue Super;1.569;1;28/06/2022 07:00:05
7272;Gasolio artico;1.499;1;27/06/2022 00:35:39
28071;Blue Super;1.764;0;28/06/2022 07:00:05
11693;HiQ Perform+;1.949;1;24/06/2022 11:07:21
40263;Gasolio Gelo;1.619;1;27/06/2022 17:04:12
45501;HiQ Perform+;1.899;1;22/06/2022 11:38:51
45501;HiQ Perform+;2.099;0;22/06/2022 11:38:51
45503;HiQ Perform+;1.899;1;24/06/2022 12:29:57
45503;HiQ Perform+;2.099;0;24/06/2022 12:29:57
44817;Excellium Diesel;1.579;1;20/06/2022 12:30:14
13337;Gasolio Gelo;1.629;0;28/06/2022 07:58:07
13337;Gasolio Gelo;1.629;1;28/06/2022 07:58:07
17323;Gasolio Gelo;1.649;0;28/06/2022 07:38:10
17323;Gasolio Gelo;1.649;1;28/06/2022 07:38:10
29837;Blue Diesel;1.834;0;28/06/2022 07:30:05
29837;Blue Diesel;1.534;1;28/06/2022 07:30:05
41125;Benzina;1.549;1;22/06/2022 07:59:51
41125;Gasolio;1.449;1;22/06/2022 07:59:51
38628;Gasolio Premium;1.679;0;19/03/2022 20:35:54
38628;Gasolio Premium;1.589;1;19/03/2022 20:35:54
3810;Blue Diesel;1.831;1;28/06/2022 01:00:08
3810;Blue Diesel;1.931;0;28/06/2022 01:00:08
41156;Blue Super;1.889;0;30/05/2022 19:25:47
41156;Blue Super;1.749;1;30/05/2022 19:25:47
4726;Benzina WR 100;1.939;0;16/11/2021 11:06:10
