ref:mise;name;operator;address;latitude;longitude
44753;AIELLI;NORDENERGY S.P.A.;5 Via Tiburtina Valeria, Km. 127+571, PESCINA - 67041;42.057726000123;13.561858000123
51791;ARCHE' ALFEDENA;ARCHE' S.R.L.;83 Marsicana, Km. 76+240, CASTEL DI SANGRO - 67030;41.73731775157919;14.040434479263377
41098;ARCHE' ATELETA;ARCHE' S.R.L.;S.S. 652 KM 27+255 SNC 67030;41.84374745231902;14.192911684513092
5442;6560 AVEZZANO;ENIMOOV S.P.A.;S.S. 5  Km 113  67051;42.038960094352184;13.41420749206543
41096;ARCHE' AVEZZANO VIA NUOVA;ARCHE' S.R.L.;VIA NUOVA  SNC 67051;42.019248134004;13.44465583562851
45030;area bianca v.buonarroti;C.M.M. CENTRALE METANO MARSICA DI MALANDRA GABRIELE S.R.L.;VIA MICHELANGELO BUONARROTI 118-120 67051;42.03876111761665;13.452698439359665
44750;AVEZZANO;NORDENERGY S.P.A.;VIA SANDRO PERTINI  snc 67051;42.015466000123;13.428646000123
32156;conad self h 24;PINGUE SUPERMERCATI SRL;via xx settembre  413 67051;42.04624442969331;13.451959490776062
38639;Easy Service Avezzano;EASY SERVICE S.R.L.;Statale 690 Avezzano-Sora, Km. 4+700, dir. Avezzano - 67051;42.014111031039164;13.417734503746033
53619;ESSO - AVEZZANO VIA XX SETTEMBRE 69/A;PAD MULTIENERGY S.P.A;XX SETTEMBRE 69 67051;42.0407358;13.4421626
52354;Impianto Q8 Gisa Carburanti;GISA CARBURANTI DI DI FELICE PAOLO;S.S. 5 Km 113.060  67051;42.040648797014995;13.412202587781325
54008;MED OIL 41386 - Avezzano;MED OIL - SOCIETA' A RESPONSABILITA' LIMITATA;XX SETTEMBRE 328 67051;42.03759;13.43516
30059;MED OIL 47928 Avezzano;MED OIL - SOCIETA' A RESPONSABILITA' LIMITATA;VIA PIAZZA TOMMASO DA CELANO SNC 67051, AVEZZANO (AQ) SNC 67051;42.03727522633524;13.434143587946892
45611;SO.GE.CA - XFUEL AVEZZANO VIA DON MINZONI;SO.GE.CA. S.ORFETO S.R.L.;VIA DON MINZONI 37 67051;42.04324502021381;13.419815892030783
54145;STAR OIL;RAFFAELE SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA;Via XX Settembre 386  67051;41.5865176;12.816987
32054;STAR OIL;CARBUNUCLEO S.N.C. DI LEONIO ARMIDA & C.;VIA CAVOUR - NUCLEO INDUSTRIAL S.N.C. 67051;42.00094066389907;13.431802690029144
56019;STAR OIL;RAFFAELE SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA;SS690 Km. 4+984 67051;41.5865176;12.816987
59284;star oil;RAFFAELE SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA;ENRICO DE NICOLA SNC 67051;42.02814;13.42556
32775;stazione servizio esso di morgante daniele;MORGANTE DANIELE;VIA XX SETTEMBRE 299 67051;42.038480131744755;13.437019032540888
54805;TAMOIL - AVEZZANO SS5 VIA TIBURTINA VALERIA KM 117+500;PAD MULTIENERGY S.P.A;S.S. 5 TIBURTINA VALERIA KM 117+500 67051;42.041846700000001;13.4107229
10659;Total Erg;"PINARDI LUIGI & C. S.N.C.";VIA SS 5 KM 118+100 SNC 67051, AVEZZANO (AQ) 490 67051;42.047201531359676;13.454479900000024
42570;Xfuel;LOLLI ANGELO;VIA P. MATTEOTTI 1 67051;42.0392404;13.4261593
59022;XFUEL AVEZZANO;CHRIS'OIL SRL;Via Don Giovanni Minzoni 37 67051;42.0431091243342;13.419862924601377
54137;FERRI;FERRI ROSALIA;VIA NAZIONALE 46/A 67052;41.80860061658041;13.559065461158752
46628;Stazione di Servizio ENI;FANTAUZZI GESTIONI DI FANTAUZZI CRISTIAN;SS 690 KM 39,310 SNC 67052;41.769784277290945;13.60117031341656
46138;L'Aquila - Barisciano;BEYFIN S.P.A. SOCIETA' BENEFIT;Località Collerendola  67021;42.32401112037127;13.515157991741944
55375;SANTILLI FUEL - IL CAMINETTO;SANTILLI GENERATION - S.A.S. DI SANTILLI DEBRA E F.LLI;SULMONA 49/51/53 67030;42.010954409448466;14.035938338761866
54749;CAPESTRANO;PETROLIFERA ITALIANA S.R.L.;SS153 KM  11+183 67022;42.0675584;13.0449408
47040;De Felice sas;DE FELICE S.A.S. DI LUIGI & ANTONIO;ROMA 114 67053;41.969354321236864;13.394423425197601
52907;CAPPADOCIA;PETROLIFERA ITALIANA S.R.L.;SP 23 ALTO LIRI TAGLIACOZZO KM 13+442 SNC 67060;42.0675584;13.0482176
48155;CARSOLI TIBURTINA;PETROLIFERA ITALIANA S.R.L.;Via Tiburtina Valeria km 69+158  67061;42.08599646465191;13.063973131282802
48156;CARSOLI TURANENSE;PETROLIFERA ITALIANA S.R.L.;S.P.  Turanense km 41+675   67061;42.096166034109245;13.058918647238732
42001;ENI;VALENTINI SECONDO;5 Via Tiburtina Valeria, Km. 69,003, Roma - 67061;42.08504541683699;13.062637234602335
59023;XFUEL CASTEL DEL MONTE;CHRIS'OIL SRL;Piazzale del Lago SNC 67023;42.36646545057875;13.723398570951556
58280;6514  CASTEL DI SANGRO;ENIMOOV S.P.A.;SS 17 KM 147+465  SNC  ;41.78054;14.10657
42302;ENI;CARUSO WALTER;VIA PORTA NAPOLI 67 67031;41.780557499130744;14.106535014715178
55470;IP ITALIANA PETROLI;CAMAS S.A.S. DI FERRITTO LORENA E C.;17   67031;41.772452137846436;14.102098822873304
53891;Q8 - CASTEL DI SANGRO SS17 KM 147+958;PAD MULTIENERGY S.P.A;SS 17 KM 147+958 SNC 67031;41.777119900000002;14.104449000000001
41856;toil castel di sangro;TOIL S.P.A.; S.STATALE 17 KM 149+200  67031;41.76685219451033;14.098870754241943
7719;VERLINGAS;"VERLINGAS DUE - S.A.S. DI VERLINGIERI ORESTE";STARDA STATALE 17 KM. 148,140 - Via del Lavoro  9 67031;41.77451597793361;14.100015390213002
59723;ARCHE' CELANO;ARCHE' S.R.L.;VIA DELLA TORRE 86 67043;42.07534;13.53904
51234;Easy Service Celano;EASY SERVICE S.R.L.;Via SS 5 KM 123+100  SNC 67043;42.06310990519823;13.507998229451237
42267;stazione di servizio ip di renzo;DI RENZO ROSSANA;VIA DELLA TORRE 20/22 67043;42.08211907975565;13.541409318944943
45382;IP Gisa Carburanti;GISA CARBURANTI DI DI FELICE PAOLO;690 Avezzano-Sora, Km. 20+819, Sora - 67050;41.88435803492386;13.451529456314006
46955;Tocci Eni Station;TOCCI MASSIMILIANO;S.R. 82 KM. 21,882 SNC 67054;41.91199886409738;13.42862587848299
43517;ARCHE' COLLARMELE;ARCHE' S.R.L.;S.R.NUM.83 KM 2+400  67040;42.04329791508895;13.626129693865778
58713;POMPA BIANCA GIOIA DEI MARSI LOC. AQUILELLA;PAD MULTIENERGY S.P.A;DELL'OSPEDALE SNC 67055;41.955908;13.684101
56748;TAMOIL GIOIA DEI MARSI VIA SAVOIA;PAD MULTIENERGY S.P.A;SAVOIA SNC 67055;41.954573;13.693647
22166;Cardelli Patrizio;CARDELLI PATRIZIO;Statale 17 ter dell'Appennino Abruzzese, Km. 2+350, dir. popoli-pescara - -;42.347699024505204;13.43132526194529
28249;CENTROGAS SRL;CENTROGAS - SOCIETA' A RESPONSABILITA' LIMITATA IN LIQUIDAZIONE;Strada Statale 5 Bis , Km. 1,500,   67100;42.328235008002004;13.420596420764923
58598;Del Re Quintino;QUINTINO DEL RE;GRAN SASSO SNC 67100;42.35572545075946;13.40507447719574
49967;DISTRIBUTORE CARBURANTE CONAD;AQUILA DISTRIBUZIONE SRL;Località Campo di Pile SNC 67100;42.34840814487015;13.350797295570374
34380;Energas;VANZINI CARBURANTI SAS DI VANZINI RICCARDO & C.;RAFFAELE CAPPELLI 4 67100;42.337871432854065;13.475415408611298
51064;ENI 06502 gestione PQ sas di Paolo Priante;PQ S.A.S. DI PAOLO PRIANTE;S.S. 17 Ovest bivio S. Antonio snc 67100;42.360524894942465;13.377555683255196
55115;G.P. SERVICE SNC;G.P. SERVICE DI PESCE GIANCARLO & C. - SOCIETA' IN NOME COLLETTIV O;VIA S.S. 80 KM. 3+303 SNC 67100, L'AQUILA (AQ) snc 67100;42.36802438534309;13.359614381134035
52515;G.T. SAS DI GILMONDO CECALA E C.\t;G.T. SAS DI GILMONDO CECALA E C.\t;ss 17 localita' mammarella 37+074 snc 67100;42.33950275709596;13.404547948624414
49194;G.V. SERVICE s.n.c. di Giovanni e Valerio Vecchioni;G.V. SERVICE DI GIOVANNI E VALERIO VECCHIONI S.N.C.;17 ter dell'Appennino Abruzzese, Km. 1,878, A - 67100;42.35148804574151;13.466840999505365
55504;IP;CAPPELLI BRUNO;STR.PROV. AMITERNINA KM 7,242 SNC 67100;42.331542;13.283169
8159;IP;BASILE MARCELLO;Statale 17 dell'Appennino Abruzzese e Appulo Sannitica, Km. 32,462, dir. ovest - 67100;42.36009778602675;13.374014496803284
14492;IP DI ALIUCCI ROBERTO E VINCENZO SNC;ALIUCCI ROBERTO & VINCENZO - SOCIETA' IN NOME COLLETTIVO;17 dell'Appennino Abruzzese e Appulo Sannitica, Km. 37+227, l'aquila centro - 67100;42.33933302663716;13.406525552272797
5263;L'Aquila - Casermette;BEYFIN S.P.A. SOCIETA' BENEFIT;VIA SUPEREQUM 4 67100;42.3631637917983;13.374787398147646
